house,state,mp_name,constituency,allocated_amount
LOK_SABHA,Maharashtra,AASHTIKAR PATIL NAGESH BAPURAO,HINGOLI,190289442.0
LOK_SABHA,Jammu And Kashmir,ABDUL RASHID SHEIKH,BARAMULLAH,154773472.11
LOK_SABHA,Bihar,ABHAY KUMAR SINHA,AURANGABAD_BR,147000000.0
LOK_SABHA,West Bengal,ABHIJIT GANGOPADHYAY,TAMLUK,147000000.0
LOK_SABHA,West Bengal,Abu Taher Khan,MURSHIDABAD,147000000.0
LOK_SABHA,West Bengal,ADHIKARI SOUMENDU,KANTHI,147000000.0
LOK_SABHA,Uttar Pradesh,ADITYA YADAV,BADAUN,147000000.0
LOK_SABHA,Kerala,Adv Adoor Prakash,ATTINGAL,147000000.0
LOK_SABHA,Kerala,Adv Dean Kuriakose,IDUKKI,147000000.0
LOK_SABHA,Maharashtra,ADV GOWAAL KAGADA PADAVI,NANDURBAR(ST),147816309.11
LOK_SABHA,Kerala,ADV K FRANCIS GEORGE,KOTTAYAM,188722256.11
LOK_SABHA,Uttar Pradesh,AFZAL ANSARI,GHAZIPUR,220500000.0
LOK_SABHA,Jammu And Kashmir,AGA SYED RUHULLAH MEHDI,SRINAGAR,147000000.0
LOK_SABHA,Uttarakhand,Ajay Bhatt,NAINITAL UDHAM SINGH NAG.,147000000.0
LOK_SABHA,Bihar,Ajay Kumar Mandal,BHAGALPUR,147000000.0
LOK_SABHA,Uttarakhand,Ajay Tamta,ALMORA(SC),147000000.0
LOK_SABHA,Uttar Pradesh,AJENDRA SINGH LODHI,HAMIRPUR_UP,147000000.0
LOK_SABHA,Uttar Pradesh,AKHILESH YADAV,KANNAUJ,147000000.0
LOK_SABHA,Uttar Pradesh,AKSHAYA YADAV,FIROZABAD,147000000.0
LOK_SABHA,Manipur,ALFRED KANNGAM S ARTHUR,OUTER MANIPUR(ST),147000000.0
LOK_SABHA,Bihar,Alok Kumar Suman,GOPALGANJ (SC),147000000.0
LOK_SABHA,Madhya Pradesh,ALOK SHARMA,BHOPAL,147000000.0
LOK_SABHA,Maharashtra,AMAR SHARADRAO KALE,WARDHA,147000000.0
LOK_SABHA,Assam,AMARSING TISSO,Diphu (ST),147000000.0
LOK_SABHA,Andhra Pradesh,AMBICA G LAKSHMINARAYANA VALMIKI,ANANTAPUR,201899064.11
LOK_SABHA,Maharashtra,Amol Ramsing Kolhe,SHIRUR,147000000.0
LOK_SABHA,Rajasthan,AMRARAM,SIKAR,165691544.11
LOK_SABHA,Punjab,AMRINDER SINGH RAJA WARRING,LUDHIANA,147000000.0
LOK_SABHA,Uttar Pradesh,ANAND BHADAURIYA,DHAURAHRA,147000000.0
LOK_SABHA,Uttar Pradesh,ANAND KUMAR,BAHRAICH(SC),147000000.0
LOK_SABHA,Odisha,ANANTA NAYAK,KEONJHAR(ST),147000000.0
LOK_SABHA,Tamil Nadu,Andimuthu Raja,NILGIRIS(SC),147000000.0
LOK_SABHA,Meghalaya,ANDREW J. SYNGKON,SHILLONG,98000000.0
LOK_SABHA,Manipur,ANGOMCHA BIMOL AKOIJAM,INNER MANIPUR,147000000.0
LOK_SABHA,Uttarakhand,ANIL BALUNI,GARHWAL,147000000.0
LOK_SABHA,Maharashtra,ANIL YESHWANT DESAI,MUMBAI SOUTH CENTRAL,147000000.0
LOK_SABHA,Madhya Pradesh,ANITA NAGARSINGH CHOUHAN,RATLAM(ST),147000000.0
LOK_SABHA,Odisha,ANITA SUBHADARSHINI,ASKA,147000000.0
LOK_SABHA,Jharkhand,Annpurna Devi,KODARMA,166665931.8
LOK_SABHA,Uttar Pradesh,ANOOP PRADHAN BALMIKI,HATHRAS (SC),147000000.0
LOK_SABHA,Kerala,Anto Antony,PATHANAMTHITTA,147000000.0
LOK_SABHA,Maharashtra,ANUP SANJAY DHOTRE,AKOLA,147000000.0
LOK_SABHA,Uttar Pradesh,Anurag Sharma,JHANSI,147000000.0
LOK_SABHA,Himachal Pradesh,Anurag Singh Thakur,HAMIRPUR_HP,149570117.11
LOK_SABHA,Andhra Pradesh,Appalanaidu Kalisetti,VIZIANAGARAM,147000000.0
LOK_SABHA,Bihar,ARUN BHARTI,JAMUI(SC),194924621.11
LOK_SABHA,Uttar Pradesh,ARUN GOVIL,MEERUT,147000000.0
LOK_SABHA,Tamil Nadu,ARUN NEHRU,PERAMBALUR,147000000.0
LOK_SABHA,Telangana,ARUNA. D. K,MAHABUBNAGAR,147000000.0
LOK_SABHA,West Bengal,ARUP CHAKRABORTY,BANKURA,147000000.0
LOK_SABHA,Telangana,Arvind Dharmapuri,NIZAMABAD,281396355.11
LOK_SABHA,Maharashtra,Arvind Ganpat Sawant,MUMBAI SOUTH,147000000.0
LOK_SABHA,Telangana,Asaduddin Owaisi,HYDERABAD,147000000.0
LOK_SABHA,Madhya Pradesh,ASHISH DUBEY,JABALPUR,147000000.0
LOK_SABHA,Uttar Pradesh,Ashok Kumar Rawat,MISRIKH(SC),147000000.0
LOK_SABHA,Bihar,Ashok Kumar Yadav,MADHUBANI,147000000.0
LOK_SABHA,West Bengal,Asit Kumar Mal,BOLPUR(SC),275694456.74
LOK_SABHA,Uttar Pradesh,ATUL GARG,GHAZIABAD,155336470.0
LOK_SABHA,Odisha,AVIMANYU SETHI,BHADRAK(SC),147000000.0
LOK_SABHA,Uttar Pradesh,AWADHESH PRASAD,FAIZABAD,147000000.0
LOK_SABHA,West Bengal,AZAD KIRTI JHA,BARDHAMAN-DURGAPUR,179658399.98
LOK_SABHA,Andhra Pradesh,B K PARTHASARATHI,HINDUPUR,160491894.11
LOK_SABHA,Uttar Pradesh,BABU SINGH KUSHWAHA,JAUNPUR,147000000.0
LOK_SABHA,Maharashtra,BACHHAV SHOBHA DINESH,DHULE,147000000.0
LOK_SABHA,West Bengal,BAG MITALI,ARAMBAG(SC),147000000.0
LOK_SABHA,Odisha,BAIJAYANT PANDA,KENDRAPARA,147000000.0
LOK_SABHA,Maharashtra,BAJRANG MANOHAR SONWANE,BEED,165899107.19
LOK_SABHA,Odisha,BALABHADRA MAJHI,NABARANGPUR(ST),147413962.11
LOK_SABHA,Andhra Pradesh,Balashowry Vallabbhaneni,MACHILIPATNAM,147000000.0
LOK_SABHA,Telangana,BALRAM NAIK PORIKA,MAHABUBABAD,147000000.0
LOK_SABHA,Maharashtra,BALWANT BASWANT WANKHADE,AMRAVATI(SC),198293678.0
LOK_SABHA,Maharashtra,BALYA MAMA SURESH GOPINATH MHATRE,BHIWANDI,147000000.0
LOK_SABHA,Delhi,Bansuri Swaraj,NEW DELHI,154306950.0
