house,state,work_type,work_id,ida,mp,constituency,district,fy,exp_date_str,vendor,pay_status,amount
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233777,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),ATUL GARG (2024-2029),GHAZIABAD,GHAZIABAD,2025-2026,21-Aug-2026,DARSH BUILDCON,Payment In-Progress,799146.0
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233878,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),ATUL GARG (2024-2029),GHAZIABAD,GHAZIABAD,2025-2026,04-Aug-2026,DARSH BUILDCON,Payment In-Progress,832080.0
LOK_SABHA,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233781,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),ATUL GARG (2024-2029),GHAZIABAD,GHAZIABAD,2025-2026,04-Aug-2026,DARSH BUILDCON,Payment In-Progress,498309.0
LOK_SABHA,Odisha,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18350/2025-2026/182265,BOUDH(District Collector Boudh_IDA),SUKANTA KUMAR PANIGRAHI (2024-2029),BOUDH,BOUDH,2025-2026,17-Aug-2026,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,3000.0
LOK_SABHA,Odisha,Construction of community centers and community halls,WS/MP370/2025-2026/174610,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram (2024-2029),Sundaragada,Sundaragada,2025-2026,07-Sep-2026,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,1962.0
LOK_SABHA,Odisha,Construction of community centers and community halls,WS/MP18150/2025-2026/273406,SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA),DHARMENDRA PRADHAN (2024-2029),SAMBALPUR,SAMBALPUR,2025-2026,05-Sep-2026,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,4123.0
LOK_SABHA,Odisha,Construction of public irrigation facilities,WS/MP18150/2026-2027/272844,SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA),DHARMENDRA PRADHAN (2024-2029),SAMBALPUR,SAMBALPUR,2026-2027,05-Sep-2026,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,8163.0
LOK_SABHA,Odisha,Construction of public libraries and reading rooms,WS/MP300/2025-2026/199511,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi (2024-2029),KHORDHA,KHORDHA,2025-2026,08-Sep-2026,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,6608.0
LOK_SABHA,Odisha,Construction of community centers and community halls,WS/MP18148/2025-2026/170215,NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA),BALABHADRA MAJHI (2024-2029),NABARANGPUR,NABARANGPUR,2025-2026,18-Sep-2026,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,2379.0
LOK_SABHA,Odisha,Construction of community centers and community halls,WS/MP18148/2025-2026/227998,NABARANGPUR(DISTRICT COLLECTOR NABARANGPUR_IDA),BALABHADRA MAJHI (2024-2029),NABARANGPUR,NABARANGPUR,2025-2026,18-Sep-2026,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,2000.0
